"split_repeat","train_participants","test_participants","test_knees","test_events","c_index","model"
26,1148,492,911,164,0.705355277768616,"C_baseline_symptoms_imaging"
27,1148,492,914,163,0.727020691520534,"C_baseline_symptoms_imaging"
28,1148,492,919,161,0.714019290397135,"C_baseline_symptoms_imaging"
29,1148,492,913,174,0.684139413480731,"C_baseline_symptoms_imaging"
30,1148,492,916,187,0.723652088340493,"C_baseline_symptoms_imaging"
31,1148,492,920,148,0.709759371105359,"C_baseline_symptoms_imaging"
32,1148,492,918,175,0.689384858546106,"C_baseline_symptoms_imaging"
33,1148,492,919,164,0.743290459240495,"C_baseline_symptoms_imaging"
34,1148,492,906,151,0.743859317163164,"C_baseline_symptoms_imaging"
35,1148,492,923,181,0.710582184886253,"C_baseline_symptoms_imaging"
36,1148,492,918,169,0.723210472473009,"C_baseline_symptoms_imaging"
37,1148,492,926,162,0.70021485307522,"C_baseline_symptoms_imaging"
38,1148,492,917,175,0.713979092968719,"C_baseline_symptoms_imaging"
39,1148,492,930,171,0.716911802024016,"C_baseline_symptoms_imaging"
40,1148,492,922,161,0.692072237526783,"C_baseline_symptoms_imaging"
41,1148,492,926,162,0.730917268520521,"C_baseline_symptoms_imaging"
42,1148,492,912,162,0.68761101742552,"C_baseline_symptoms_imaging"
43,1148,492,932,153,0.71944147289004,"C_baseline_symptoms_imaging"
44,1148,492,936,177,0.693461091288137,"C_baseline_symptoms_imaging"
45,1148,492,923,163,0.716583775305941,"C_baseline_symptoms_imaging"
46,1148,492,915,169,0.701324872886611,"C_baseline_symptoms_imaging"
47,1148,492,925,156,0.696082045782083,"C_baseline_symptoms_imaging"
48,1148,492,908,173,0.706964086917082,"C_baseline_symptoms_imaging"
49,1148,492,932,169,0.705534987608237,"C_baseline_symptoms_imaging"
50,1148,492,919,176,0.703327152429517,"C_baseline_symptoms_imaging"
1,1148,492,917,173,0.69285151574058,"D_dynamic_clinical"
2,1148,492,919,152,0.699654527949255,"D_dynamic_clinical"
3,1148,492,921,171,0.669825436408978,"D_dynamic_clinical"
4,1148,492,906,174,0.665348606098645,"D_dynamic_clinical"
5,1148,492,911,181,0.640473755795368,"D_dynamic_clinical"
6,1148,492,917,184,0.678959372221578,"D_dynamic_clinical"
7,1148,492,927,172,0.680945637230073,"D_dynamic_clinical"
8,1148,492,920,164,0.681598709636876,"D_dynamic_clinical"
9,1148,492,926,176,0.650158136860264,"D_dynamic_clinical"
10,1148,492,922,174,0.651324850453265,"D_dynamic_clinical"
11,1148,492,918,180,0.692630299942187,"D_dynamic_clinical"
12,1148,492,921,188,0.650012854571943,"D_dynamic_clinical"
13,1148,492,929,171,0.670960509338579,"D_dynamic_clinical"
14,1148,492,919,167,0.665093756439316,"D_dynamic_clinical"
15,1148,492,925,155,0.710667035704401,"D_dynamic_clinical"
16,1148,492,920,157,0.675002632410235,"D_dynamic_clinical"
17,1148,492,928,192,0.68586849252858,"D_dynamic_clinical"
18,1148,492,926,160,0.680167209578974,"D_dynamic_clinical"
19,1148,492,920,149,0.650929298589708,"D_dynamic_clinical"
20,1148,492,924,169,0.678358867826539,"D_dynamic_clinical"
21,1148,492,919,166,0.704212572909916,"D_dynamic_clinical"
22,1148,492,924,167,0.673024523160763,"D_dynamic_clinical"
23,1148,492,930,161,0.693970259818073,"D_dynamic_clinical"
24,1148,492,929,164,0.683174443360706,"D_dynamic_clinical"
25,1148,492,920,166,0.695638650047768,"D_dynamic_clinical"
26,1148,492,933,174,0.710133573582984,"D_dynamic_clinical"
27,1148,492,911,178,0.699000356345768,"D_dynamic_clinical"
28,1148,492,915,166,0.647579749246151,"D_dynamic_clinical"
29,1148,492,931,177,0.651114351176838,"D_dynamic_clinical"
30,1148,492,919,167,0.660795328318893,"D_dynamic_clinical"
31,1148,492,918,167,0.681225987851731,"D_dynamic_clinical"
32,1148,492,920,168,0.683977057027317,"D_dynamic_clinical"
33,1148,492,917,169,0.681733237498717,"D_dynamic_clinical"
34,1148,492,915,171,0.679355361675804,"D_dynamic_clinical"
35,1148,492,925,162,0.693281402142162,"D_dynamic_clinical"
36,1148,492,921,167,0.704923743482,"D_dynamic_clinical"
37,1148,492,914,164,0.717104901108335,"D_dynamic_clinical"
38,1148,492,920,181,0.705147586099967,"D_dynamic_clinical"
39,1148,492,920,168,0.65910246960999,"D_dynamic_clinical"
40,1148,492,928,160,0.720014153958543,"D_dynamic_clinical"
41,1148,492,914,188,0.700623109096255,"D_dynamic_clinical"
42,1148,492,918,160,0.677034042357697,"D_dynamic_clinical"
43,1148,492,917,152,0.673574064131416,"D_dynamic_clinical"
44,1148,492,912,144,0.695401983285929,"D_dynamic_clinical"
45,1148,492,932,187,0.716673986786405,"D_dynamic_clinical"
46,1148,492,919,170,0.681143180294906,"D_dynamic_clinical"
47,1148,492,910,157,0.606011453540336,"D_dynamic_clinical"
48,1148,492,919,170,0.651268206180637,"D_dynamic_clinical"
49,1148,492,922,160,0.659507696249013,"D_dynamic_clinical"
50,1148,492,917,180,0.671150957297178,"D_dynamic_clinical"
1,1148,492,911,162,0.727406369514534,"E_dynamic_clinical_imaging"
2,1148,492,925,173,0.751882457230776,"E_dynamic_clinical_imaging"
3,1148,492,916,179,0.732242976792018,"E_dynamic_clinical_imaging"
4,1148,492,916,150,0.805594021446801,"E_dynamic_clinical_imaging"
5,1148,492,919,180,0.73542524520854,"E_dynamic_clinical_imaging"
6,1148,492,911,174,0.743452688270011,"E_dynamic_clinical_imaging"
7,1148,492,926,159,0.753508859523572,"E_dynamic_clinical_imaging"
8,1148,492,925,172,0.75999505144436,"E_dynamic_clinical_imaging"
9,1148,492,929,173,0.767016907249382,"E_dynamic_clinical_imaging"
10,1148,492,907,178,0.760861249798679,"E_dynamic_clinical_imaging"
11,1148,492,897,169,0.74389367816092,"E_dynamic_clinical_imaging"
12,1148,492,941,138,0.736905801621959,"E_dynamic_clinical_imaging"
13,1148,492,919,167,0.741783505154639,"E_dynamic_clinical_imaging"
14,1148,492,917,190,0.742653823766875,"E_dynamic_clinical_imaging"
15,1148,492,923,185,0.758355521626604,"E_dynamic_clinical_imaging"
16,1148,492,910,194,0.75805144078414,"E_dynamic_clinical_imaging"
17,1148,492,920,159,0.781553699185311,"E_dynamic_clinical_imaging"
18,1148,492,918,178,0.749502691317576,"E_dynamic_clinical_imaging"
19,1148,492,912,160,0.786338828560176,"E_dynamic_clinical_imaging"
20,1148,492,929,179,0.762624230475194,"E_dynamic_clinical_imaging"
21,1148,492,909,165,0.775408358196141,"E_dynamic_clinical_imaging"
22,1148,492,931,180,0.767488833888083,"E_dynamic_clinical_imaging"
23,1148,492,922,164,0.73703219857066,"E_dynamic_clinical_imaging"
24,1148,492,919,174,0.754839024390244,"E_dynamic_clinical_imaging"
25,1148,492,916,176,0.777650903650037,"E_dynamic_clinical_imaging"
26,1148,492,915,164,0.749062842104099,"E_dynamic_clinical_imaging"
27,1148,492,920,188,0.754695052208243,"E_dynamic_clinical_imaging"
28,1148,492,916,180,0.76504092906972,"E_dynamic_clinical_imaging"
29,1148,492,920,171,0.776218311400081,"E_dynamic_clinical_imaging"
30,1148,492,916,179,0.770494466443294,"E_dynamic_clinical_imaging"
31,1148,492,914,161,0.732502081781128,"E_dynamic_clinical_imaging"
32,1148,492,911,176,0.740250668582605,"E_dynamic_clinical_imaging"
33,1148,492,921,159,0.795729561224148,"E_dynamic_clinical_imaging"
34,1148,492,918,183,0.763515964323249,"E_dynamic_clinical_imaging"
35,1148,492,913,166,0.743872788451102,"E_dynamic_clinical_imaging"
36,1148,492,927,154,0.759279267480819,"E_dynamic_clinical_imaging"
37,1148,492,924,181,0.762808961056206,"E_dynamic_clinical_imaging"
38,1148,492,917,159,0.780057672857174,"E_dynamic_clinical_imaging"
39,1148,492,920,154,0.763360175695461,"E_dynamic_clinical_imaging"
40,1148,492,919,184,0.750619575811018,"E_dynamic_clinical_imaging"
41,1148,492,911,178,0.753252593387501,"E_dynamic_clinical_imaging"
42,1148,492,920,167,0.728375914321045,"E_dynamic_clinical_imaging"
43,1148,492,923,169,0.77253125,"E_dynamic_clinical_imaging"
44,1148,492,914,167,0.708351307048572,"E_dynamic_clinical_imaging"
45,1148,492,920,136,0.771649440816178,"E_dynamic_clinical_imaging"
46,1148,492,907,162,0.763507605281055,"E_dynamic_clinical_imaging"
47,1148,492,930,174,0.743014103316404,"E_dynamic_clinical_imaging"
48,1148,492,918,170,0.771321816159029,"E_dynamic_clinical_imaging"
49,1148,492,918,187,0.777360407933656,"E_dynamic_clinical_imaging"
50,1148,492,923,150,0.767243793761935,"E_dynamic_clinical_imaging"
